Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Age_Group,Department,Region,Year,Performance_Score_Group,Remote_Work_Group
EMP1000,Bob,Davis,25,Active,2021-04-02,59767.65,bob.davis@example.com,165-162-3197,Average,True,Young Adults,DevOps,California,2021,2,Yes
EMP1001,Bob,Brown,30,Active,2020-07-10,65304.66,bob.brown@example.com,189-847-1390,Excellent,True,Early Middle Age,Finance,Texas,2020,4,Yes
EMP1002,Alice,Jones,30,Pending,2023-12-07,88145.9,alice.jones@example.com,559-636-3211,Good,True,Early Middle Age,Admin,Nevada,2023,3,Yes
EMP1003,Eva,Davis,25,Inactive,2021-11-27,69450.99,eva.davis@example.com,347-649-0784,Good,True,Young Adults,Admin,Nevada,2021,3,Yes
EMP1004,Frank,Williams,25,Active,2022-01-05,109324.61,frank.williams@example.com,158-673-4256,Poor,False,Young Adults,Cloud Tech,Florida,2022,1,No
EMP1005,Alice,Garcia,40,Inactive,2020-06-10,88642.84,alice.garcia@example.com,540-900-3485,Good,False,Late Middle Age,Sales,Texas,2020,3,No
EMP1006,Frank,Jones,30,Active,2020-04-03,96288.43,frank.jones@example.com,451-837-6063,Good,False,Early Middle Age,Admin,Nevada,2020,3,No
EMP1007,Bob,Jones,30,Inactive,2022-07-17,94497.91,bob.jones@example.com,413-432-7559,Average,True,Early Middle Age,Cloud Tech,Florida,2022,2,Yes
EMP1008,Frank,Davis,35,Inactive,2023-12-08,115565.82,frank.davis@example.com,417-765-6123,Excellent,True,Early Middle Age,Admin,Nevada,2023,4,Yes
EMP1009,Charlie,Johnson,30,Active,2022-08-04,76561.88,charlie.johnson@example.com,815-698-5699,Excellent,True,Early Middle Age,DevOps,New York,2022,4,Yes
EMP1010,David,Williams,35,Active,2024-07-06,72081.71,david.williams@example.com,272-063-4590,Average,False,Early Middle Age,Cloud Tech,New York,2024,2,No
EMP1011,David,Davis,30,Active,2023-09-04,84946.19,david.davis@example.com,123-829-6576,Poor,True,Early Middle Age,DevOps,California,2023,1,Yes
EMP1012,Heidi,Williams,30,Active,2024-03-05,89295.77,heidi.williams@example.com,242-954-3164,Excellent,False,Early Middle Age,HR,New York,2024,4,No
EMP1013,Grace,Williams,30,Active,2020-10-10,85666.84,grace.williams@example.com,266-930-0892,Good,False,Early Middle Age,Finance,California,2020,3,No
EMP1014,Alice,Garcia,25,Active,2024-06-10,97633.68,alice.garcia@example.com,173-420-6968,Excellent,True,Young Adults,Admin,Nevada,2024,4,Yes
EMP1015,Grace,Jones,40,Pending,2021-05-29,117975.49,grace.jones@example.com,421-529-1085,Good,True,Late Middle Age,Sales,Florida,2021,3,Yes
EMP1016,Alice,Brown,25,Inactive,2024-04-23,94867.33,alice.brown@example.com,771-333-4475,Poor,False,Young Adults,DevOps,Illinois,2024,1,No
EMP1017,Grace,Garcia,30,Pending,2024-11-28,100377.65,grace.garcia@example.com,263-934-3625,Average,True,Early Middle Age,Finance,Texas,2024,2,Yes
EMP1018,Charlie,Garcia,30,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,204-439-7358,Excellent,False,Early Middle Age,Cloud Tech,Nevada,2024,4,No
EMP1019,Charlie,Williams,35,Pending,2020-01-02,91926.12,charlie.williams@example.com,710-725-6365,Average,True,Early Middle Age,Admin,Illinois,2020,2,Yes
EMP1020,Bob,Miller,35,Active,2021-05-08,111460.67,bob.miller@example.com,941-180-0536,Excellent,True,Early Middle Age,HR,New York,2021,4,Yes
EMP1021,Bob,Jones,40,Active,2020-09-19,96182.56,bob.jones@example.com,599-004-8963,Good,False,Late Middle Age,Cloud Tech,Illinois,2020,3,No
EMP1022,Charlie,Johnson,35,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,652-809-2427,Average,True,Early Middle Age,Sales,Illinois,2021,2,Yes
EMP1023,David,Garcia,35,Pending,2022-02-03,80667.01,david.garcia@example.com,757-215-8623,Excellent,False,Early Middle Age,Finance,Nevada,2022,4,No
EMP1024,Bob,Brown,30,Inactive,2020-02-13,91181.61,bob.brown@example.com,150-274-5643,Good,True,Early Middle Age,Admin,Texas,2020,3,Yes
EMP1025,David,Miller,25,Pending,2020-04-30,66025.92,david.miller@example.com,948-562-5727,Average,False,Young Adults,Cloud Tech,Nevada,2020,2,No
EMP1026,Frank,Miller,25,Inactive,2023-10-02,83979.01,frank.miller@example.com,703-203-2073,Average,False,Young Adults,Sales,New York,2023,2,No
EMP1027,Heidi,Johnson,30,Active,2020-07-12,56785.16,heidi.johnson@example.com,276-170-7586,Excellent,True,Early Middle Age,Finance,Florida,2020,4,Yes
EMP1028,Grace,Garcia,40,Active,2023-10-11,95741.88,grace.garcia@example.com,771-215-1341,Excellent,False,Late Middle Age,Finance,Nevada,2023,4,No
EMP1029,Alice,Brown,40,Active,2021-05-24,63411.31,alice.brown@example.com,284-993-9088,Excellent,True,Late Middle Age,DevOps,California,2021,4,Yes
EMP1030,Charlie,Jones,40,Inactive,2021-05-26,111214.02,charlie.jones@example.com,261-371-5040,Good,True,Late Middle Age,Admin,California,2021,3,Yes
EMP1031,Bob,Smith,25,Active,2020-07-10,114845.69,bob.smith@example.com,659-152-0176,Excellent,True,Young Adults,DevOps,Illinois,2020,4,Yes
EMP1032,Charlie,Brown,40,Active,2024-11-05,78072.82,charlie.brown@example.com,749-050-9758,Average,False,Late Middle Age,Finance,Florida,2024,2,No
